workload,category,rows,cols,cluster_size,shared_bytes_per_cta,cluster_ms,cluster_p20_ms,cluster_p80_ms,control_overhead_ms,saved_hbm_ms,local_staging_ms,dsmem_store_ms,predicted_delta_ms,predicted_profitable,measured_delta_vs_block_ms,measured_profitable_vs_block,model_version,effective_bandwidth_gbps,saved_reread_ms,local_replay_ms,local_store_residual_ms
layernorm_backward,normalization,2048,4096,2,8192,0.0474115,0.047281340000000005,0.04742596,0.0114771,0.015801,0.006337767333459052,1.2100414533732269e-05,-0.002025967747992786,False,-0.005275500000000002,False,effective-bandwidth-overlap-v2,6370.691475223087,0.015801,0.006337767333459052,0.0
layernorm_backward,normalization,2048,4096,4,4096,0.0691082,0.06903276,0.06914730000000001,0.024953,0.015801,0.006238739718873754,7.146807333985622e-05,-0.015462207792213611,False,-0.026972199999999995,False,effective-bandwidth-overlap-v2,6370.691475223087,0.015801,0.006238739718873754,0.0
layernorm_backward,normalization,2048,4096,8,2048,0.136889,0.1367696,0.13690719999999998,0.0510019,0.015801,0.006337767333459052,0.0003388116069445035,-0.04187747894040356,False,-0.094753,False,effective-bandwidth-overlap-v2,6370.691475223087,0.015801,0.006337767333459052,0.0
layernorm_backward,normalization,2048,8192,2,16384,0.082489,0.08232118,0.08249418,0.0114272,0.035301374999999996,0.012675534666918105,1.2100414533732269e-05,0.01118653991854816,True,0.011647999999999992,True,effective-bandwidth-overlap-v2,5703.080744022011,0.035301374999999996,0.012675534666918105,0.0
layernorm_backward,normalization,2048,8192,4,8192,0.0931722,0.09309508000000001,0.09325987999999999,0.0248096,0.035301374999999996,0.012477479437747508,7.146807333985622e-05,-0.0020571725110873694,False,0.0009648000000000018,True,effective-bandwidth-overlap-v2,5703.080744022011,0.035301374999999996,0.012477479437747508,0.0
layernorm_backward,normalization,2048,8192,8,4096,0.137431,0.13711800000000002,0.1374888,0.051759,0.035301374999999996,0.012675534666918105,0.0003388116069445035,-0.029471971273862613,False,-0.043294,False,effective-bandwidth-overlap-v2,5703.080744022011,0.035301374999999996,0.012675534666918105,0.0
layernorm_backward,normalization,2048,16384,2,32768,0.187685,0.18751479999999998,0.18770939999999997,0.0142816,0.0822885,0.02535106933383621,1.2100414533732269e-05,0.04264373025163005,True,0.031751,True,effective-bandwidth-overlap-v2,4893.189011830329,0.0822885,0.02535106933383621,0.0
layernorm_backward,normalization,2048,16384,4,16384,0.157468,0.15739460000000002,0.157561,0.0240848,0.0822885,0.024954958875495016,7.146807333985622e-05,0.03317727305116513,True,0.061967999999999995,True,effective-bandwidth-overlap-v2,4893.189011830329,0.0822885,0.024954958875495016,0.0
layernorm_backward,normalization,2048,16384,8,8192,0.18307,0.18303919999999999,0.1832598,0.051527,0.0822885,0.02535106933383621,0.0003388116069445035,0.005071619059219284,True,0.03636599999999998,True,effective-bandwidth-overlap-v2,4893.189011830329,0.0822885,0.02535106933383621,0.0
layernorm_backward,normalization,2048,32768,2,65536,0.416527,0.4163742,0.41655699999999996,0.0254003,0.20611800000000002,0.05070213866767242,1.2100414533732269e-05,0.13000346091779388,True,0.13312100000000004,True,effective-bandwidth-overlap-v2,3907.016214013332,0.20611800000000002,0.05070213866767242,0.0
