workload,cols,cluster_size,trial,overhead_ms
pearson_backward,8192,2,1,0.027232
pearson_backward,8192,2,2,0.027175
pearson_backward,8192,2,3,0.0271885
pearson_backward,8192,2,4,0.027256
pearson_backward,16384,2,0,0.0506803
pearson_backward,16384,2,1,0.0495552
pearson_backward,16384,2,2,0.0506432
pearson_backward,16384,2,3,0.0504957
pearson_backward,16384,2,4,0.0503683
pearson_backward,32768,2,0,0.128381
pearson_backward,32768,2,1,0.128374
pearson_backward,32768,2,2,0.128239
pearson_backward,32768,2,3,0.128376
pearson_backward,32768,2,4,0.128337
pearson_backward,4096,4,0,0.048696
pearson_backward,4096,4,1,0.048711
pearson_backward,4096,4,2,0.0487046
pearson_backward,4096,4,3,0.0487331
pearson_backward,4096,4,4,0.0486845
pearson_backward,8192,4,0,0.048439
pearson_backward,8192,4,1,0.0487171
pearson_backward,8192,4,2,0.0486269
pearson_backward,8192,4,3,0.0486496
pearson_backward,8192,4,4,0.0486816
pearson_backward,16384,4,0,0.0620864
pearson_backward,16384,4,1,0.0619834
pearson_backward,16384,4,2,0.0619274
pearson_backward,16384,4,3,0.0620445
pearson_backward,16384,4,4,0.0620566
pearson_backward,32768,4,0,0.11672
pearson_backward,32768,4,1,0.116738
pearson_backward,32768,4,2,0.116372
pearson_backward,32768,4,3,0.116656
pearson_backward,32768,4,4,0.116822
pearson_backward,65536,4,0,0.308958
pearson_backward,65536,4,1,0.308084
pearson_backward,65536,4,2,0.309217
pearson_backward,65536,4,3,0.309895
pearson_backward,65536,4,4,0.307982
pearson_backward,4096,8,0,0.101918
pearson_backward,4096,8,1,0.101858
pearson_backward,4096,8,2,0.101984
pearson_backward,4096,8,3,0.102003
pearson_backward,4096,8,4,0.101963
pearson_backward,8192,8,0,0.101959
pearson_backward,8192,8,1,0.102067
pearson_backward,8192,8,2,0.102074
pearson_backward,8192,8,3,0.101985
pearson_backward,8192,8,4,0.102077
pearson_backward,16384,8,0,0.102086
pearson_backward,16384,8,1,0.101891
pearson_backward,16384,8,2,0.102092
pearson_backward,16384,8,3,0.102061
pearson_backward,16384,8,4,0.102024
pearson_backward,32768,8,0,0.132996
pearson_backward,32768,8,1,0.133006
pearson_backward,32768,8,2,0.132953
pearson_backward,32768,8,3,0.133015
pearson_backward,32768,8,4,0.132967
pearson_backward,65536,8,0,0.255717
pearson_backward,65536,8,1,0.255599
pearson_backward,65536,8,2,0.255755
pearson_backward,65536,8,3,0.255902
pearson_backward,65536,8,4,0.255634
softmax_logits_backward,4096,2,0,0.0323776
softmax_logits_backward,4096,2,1,0.0322403
softmax_logits_backward,4096,2,2,0.0323638
softmax_logits_backward,4096,2,3,0.0319123
softmax_logits_backward,4096,2,4,0.0323859
softmax_logits_backward,8192,2,0,0.0408522
softmax_logits_backward,8192,2,1,0.0406438
softmax_logits_backward,8192,2,2,0.0407926
softmax_logits_backward,8192,2,3,0.0408387
softmax_logits_backward,8192,2,4,0.0404438
softmax_logits_backward,16384,2,0,0.0730467
softmax_logits_backward,16384,2,1,0.0731174
softmax_logits_backward,16384,2,2,0.0727366
softmax_logits_backward,16384,2,3,0.0730656
softmax_logits_backward,16384,2,4,0.0731197
softmax_logits_backward,32768,2,0,0.185844
softmax_logits_backward,32768,2,1,0.185765
softmax_logits_backward,32768,2,2,0.184775
softmax_logits_backward,32768,2,3,0.185465
softmax_logits_backward,32768,2,4,0.185636
softmax_logits_backward,4096,4,0,0.0709555
softmax_logits_backward,4096,4,1,0.0709722
softmax_logits_backward,4096,4,2,0.0703354
softmax_logits_backward,4096,4,3,0.0708595
softmax_logits_backward,4096,4,4,0.0707667
softmax_logits_backward,8192,4,0,0.0701763
softmax_logits_backward,8192,4,1,0.0706435
softmax_logits_backward,8192,4,2,0.0709587
softmax_logits_backward,8192,4,3,0.0707994
softmax_logits_backward,8192,4,4,0.0709808
softmax_logits_backward,16384,4,0,0.090417
softmax_logits_backward,16384,4,1,0.0906026
softmax_logits_backward,16384,4,2,0.0905549
softmax_logits_backward,16384,4,3,0.090417
softmax_logits_backward,16384,4,4,0.0899178
softmax_logits_backward,32768,4,0,0.16972
softmax_logits_backward,32768,4,1,0.1689
softmax_logits_backward,32768,4,2,0.168872
softmax_logits_backward,32768,4,3,0.169323
softmax_logits_backward,32768,4,4,0.169718
softmax_logits_backward,65536,4,0,0.449477
softmax_logits_backward,65536,4,1,0.450758
softmax_logits_backward,65536,4,2,0.450241
softmax_logits_backward,65536,4,3,0.450542
softmax_logits_backward,65536,4,4,0.448704
softmax_logits_backward,4096,8,0,0.148041
softmax_logits_backward,4096,8,1,0.148109
softmax_logits_backward,4096,8,2,0.148132
softmax_logits_backward,4096,8,3,0.148069
softmax_logits_backward,4096,8,4,0.147976
softmax_logits_backward,8192,8,0,0.148096
softmax_logits_backward,8192,8,1,0.148202
softmax_logits_backward,8192,8,2,0.14806
softmax_logits_backward,8192,8,3,0.148129
softmax_logits_backward,8192,8,4,0.148079
softmax_logits_backward,16384,8,0,0.148065
softmax_logits_backward,16384,8,1,0.148033
softmax_logits_backward,16384,8,2,0.148148
softmax_logits_backward,16384,8,3,0.148168
softmax_logits_backward,16384,8,4,0.148086
softmax_logits_backward,32768,8,0,0.192819
softmax_logits_backward,32768,8,1,0.192878
softmax_logits_backward,32768,8,2,0.192852
softmax_logits_backward,32768,8,3,0.192704
softmax_logits_backward,32768,8,4,0.1927
softmax_logits_backward,65536,8,0,0.372345
softmax_logits_backward,65536,8,1,0.371951
softmax_logits_backward,65536,8,2,0.372063
softmax_logits_backward,65536,8,3,0.37232
softmax_logits_backward,65536,8,4,0.372273
lars_momentum,4096,2,0,0.0121299
lars_momentum,4096,2,1,0.0120166
lars_momentum,4096,2,2,0.0121123
lars_momentum,4096,2,3,0.0119878
lars_momentum,4096,2,4,0.0119293
lars_momentum,8192,2,0,0.0212182
lars_momentum,8192,2,1,0.0212541
lars_momentum,8192,2,2,0.0212083
lars_momentum,8192,2,3,0.0211309
lars_momentum,8192,2,4,0.0212531
lars_momentum,16384,2,0,0.0375546
lars_momentum,16384,2,1,0.0375398
lars_momentum,16384,2,2,0.0375485
lars_momentum,16384,2,3,0.0375795
lars_momentum,16384,2,4,0.0375901
lars_momentum,32768,2,0,0.0710221
lars_momentum,32768,2,1,0.0710154
lars_momentum,32768,2,2,0.0709907
lars_momentum,32768,2,3,0.0708986
lars_momentum,32768,2,4,0.0709856
lars_momentum,4096,4,0,0.0283059
lars_momentum,4096,4,1,0.0283002
lars_momentum,4096,4,2,0.0283613
lars_momentum,4096,4,3,0.0278064
lars_momentum,4096,4,4,0.0282506
lars_momentum,8192,4,0,0.0280925
lars_momentum,8192,4,1,0.0276621
lars_momentum,8192,4,2,0.0284646
lars_momentum,8192,4,3,0.0281638
lars_momentum,8192,4,4,0.0282784
lars_momentum,16384,4,0,0.0502614
lars_momentum,16384,4,1,0.0503328
lars_momentum,16384,4,2,0.0503104
lars_momentum,16384,4,3,0.0502448
lars_momentum,16384,4,4,0.0497597
lars_momentum,32768,4,0,0.0893229
lars_momentum,32768,4,1,0.0891014
lars_momentum,32768,4,2,0.0894333
lars_momentum,32768,4,3,0.0893229
lars_momentum,32768,4,4,0.0893242
lars_momentum,65536,4,0,0.168031
lars_momentum,65536,4,1,0.167432
lars_momentum,65536,4,2,0.167582
lars_momentum,65536,4,3,0.167818
lars_momentum,65536,4,4,0.16814
lars_momentum,4096,8,0,0.0600448
lars_momentum,4096,8,1,0.0600467
lars_momentum,4096,8,2,0.0602096
lars_momentum,4096,8,3,0.0601613
lars_momentum,4096,8,4,0.0602048
lars_momentum,8192,8,0,0.0601766
lars_momentum,8192,8,1,0.0600854
lars_momentum,8192,8,2,0.0600534
lars_momentum,8192,8,3,0.0601101
lars_momentum,8192,8,4,0.0601894
lars_momentum,16384,8,0,0.0601277
lars_momentum,16384,8,1,0.0601139
lars_momentum,16384,8,2,0.0601622
lars_momentum,16384,8,3,0.0601046
lars_momentum,16384,8,4,0.0601853
lars_momentum,32768,8,0,0.109961
lars_momentum,32768,8,1,0.109981
lars_momentum,32768,8,2,0.109947
lars_momentum,32768,8,3,0.109871
lars_momentum,32768,8,4,0.110021
lars_momentum,65536,8,0,0.19929
lars_momentum,65536,8,1,0.199092
lars_momentum,65536,8,2,0.199239
lars_momentum,65536,8,3,0.199239
lars_momentum,65536,8,4,0.19913
rowwise_quant,4096,2,0,0.0121661
rowwise_quant,4096,2,1,0.0121037
rowwise_quant,4096,2,2,0.0121078
rowwise_quant,4096,2,3,0.0120218
rowwise_quant,4096,2,4,0.0120851
rowwise_quant,8192,2,0,0.0121226
rowwise_quant,8192,2,1,0.0120083
rowwise_quant,8192,2,2,0.012039
rowwise_quant,8192,2,3,0.0120989
rowwise_quant,8192,2,4,0.0120083
rowwise_quant,16384,2,0,0.0152102
rowwise_quant,16384,2,1,0.015256
rowwise_quant,16384,2,2,0.0151747
rowwise_quant,16384,2,3,0.0151066
rowwise_quant,16384,2,4,0.0152134
rowwise_quant,32768,2,0,0.0266234
rowwise_quant,32768,2,1,0.0259795
rowwise_quant,32768,2,2,0.0265674
rowwise_quant,32768,2,3,0.0265427
rowwise_quant,32768,2,4,0.0265971
rowwise_quant,65536,2,0,0.071032
rowwise_quant,65536,2,1,0.070927
rowwise_quant,65536,2,2,0.0708816
rowwise_quant,65536,2,3,0.0709987
rowwise_quant,65536,2,4,0.0710758
rowwise_quant,4096,4,0,0.028384
rowwise_quant,4096,4,1,0.028353
rowwise_quant,4096,4,2,0.0283542
rowwise_quant,4096,4,3,0.0283731
rowwise_quant,4096,4,4,0.0284035
rowwise_quant,8192,4,0,0.0283789
rowwise_quant,8192,4,1,0.0282758
rowwise_quant,8192,4,2,0.02832
rowwise_quant,8192,4,3,0.0283949
rowwise_quant,8192,4,4,0.0283277
rowwise_quant,16384,4,0,0.0282336
rowwise_quant,16384,4,1,0.0283629
rowwise_quant,16384,4,2,0.0283706
rowwise_quant,16384,4,3,0.0284278
rowwise_quant,16384,4,4,0.0283402
rowwise_quant,32768,4,0,0.0358685
rowwise_quant,32768,4,1,0.0358726
rowwise_quant,32768,4,2,0.035728
rowwise_quant,32768,4,3,0.0358083
rowwise_quant,32768,4,4,0.0358502
rowwise_quant,65536,4,0,0.0651814
rowwise_quant,65536,4,1,0.0653654
rowwise_quant,65536,4,2,0.0653424
rowwise_quant,65536,4,3,0.0652784
rowwise_quant,65536,4,4,0.0653728
