workload,category,rows,cols,cluster_size,shared_bytes_per_cta,cluster_ms,cluster_p20_ms,cluster_p80_ms,control_overhead_ms,saved_hbm_ms,local_staging_ms,dsmem_store_ms,predicted_delta_ms,predicted_profitable,measured_delta_vs_block_ms,measured_profitable_vs_block
layernorm_backward,normalization,2048,4096,2,8192,0.0474115,0.047281340000000005,0.04742596,0.0114771,0.013848006691067305,0.012675534666918105,1.2100414533732269e-05,-0.010316728390384533,False,-0.005275500000000002,False
layernorm_backward,normalization,2048,4096,4,4096,0.0691082,0.06903276,0.06914730000000001,0.024953,0.013848006691067305,0.012477479437747508,7.146807333985622e-05,-0.02365394082002006,False,-0.026972199999999995,False
layernorm_backward,normalization,2048,4096,8,2048,0.136889,0.1367696,0.13690719999999998,0.0510019,0.013848006691067305,0.012675534666918105,0.0003388116069445035,-0.05016823958279531,False,-0.094753,False
layernorm_backward,normalization,2048,8192,2,16384,0.082489,0.08232118,0.08249418,0.0114272,0.07491612288640152,0.02535106933383621,1.2100414533732269e-05,0.03812575313803158,True,0.011647999999999992,True
layernorm_backward,normalization,2048,8192,4,8192,0.0931722,0.09309508000000001,0.09325987999999999,0.0248096,0.07491612288640152,0.024954958875495016,7.146807333985622e-05,0.02508009593756665,True,0.0009648000000000018,True
layernorm_backward,normalization,2048,8192,8,4096,0.137431,0.13711800000000002,0.1374888,0.051759,0.07491612288640152,0.02535106933383621,0.0003388116069445035,-0.0025327580543791886,False,-0.043294,False
layernorm_backward,normalization,2048,16384,2,32768,0.187685,0.18751479999999998,0.18770939999999997,0.0142816,0.14983224577280305,0.05070213866767242,1.2100414533732269e-05,0.08483640669059689,True,0.031751,True
layernorm_backward,normalization,2048,16384,4,16384,0.157468,0.15739460000000002,0.157561,0.0240848,0.14983224577280305,0.04990991775099003,7.146807333985622e-05,0.07576605994847317,True,0.061967999999999995,True
layernorm_backward,normalization,2048,16384,8,8192,0.18307,0.18303919999999999,0.1832598,0.051527,0.14983224577280305,0.05070213866767242,0.0003388116069445035,0.04726429549818612,True,0.03636599999999998,True
layernorm_backward,normalization,2048,32768,2,65536,0.416527,0.4163742,0.41655699999999996,0.0254003,0.2996644915456061,0.10140427733534484,1.2100414533732269e-05,0.17284781379572753,True,0.13312100000000004,True
layernorm_backward,normalization,2048,32768,4,32768,0.374109,0.3737122,0.3742118,0.0317731,0.2996644915456061,0.09981983550198006,7.146807333985622e-05,0.16800008797028618,True,0.175539,True
