cols,rows,block_variant,block_ms,cluster_variant,cluster_ms,cluster_size,trial,workload
32768,4096,block_read,1.7757,cluster_smem,1.42448,2,0,weighted_var_backward
65536,4096,block_read,3.57984,n/a,nan,2,0,weighted_var_backward
4096,4096,block_smem,0.104833,cluster_smem,0.12015,2,1,weighted_var_backward
8192,4096,block_smem,0.256754,cluster_smem,0.233788,2,1,weighted_var_backward
16384,4096,block_smem,0.696519,cluster_smem,0.557493,2,1,weighted_var_backward
32768,4096,block_read,1.77819,cluster_smem,1.40772,2,1,weighted_var_backward
65536,4096,block_read,3.57772,n/a,nan,2,1,weighted_var_backward
4096,4096,block_smem,0.104523,cluster_smem,0.119886,2,2,weighted_var_backward
8192,4096,block_smem,0.256668,cluster_smem,0.233777,2,2,weighted_var_backward
16384,4096,block_smem,0.69726,cluster_smem,0.557367,2,2,weighted_var_backward
32768,4096,block_read,1.778,cluster_smem,1.40809,2,2,weighted_var_backward
65536,4096,block_read,3.5732,n/a,nan,2,2,weighted_var_backward
4096,4096,block_smem,0.104627,cluster_smem,0.120008,2,3,weighted_var_backward
8192,4096,block_smem,0.256543,cluster_smem,0.233777,2,3,weighted_var_backward
16384,4096,block_smem,0.691126,cluster_smem,0.557833,2,3,weighted_var_backward
32768,4096,block_read,1.77829,cluster_smem,1.42451,2,3,weighted_var_backward
65536,4096,block_read,3.58016,n/a,nan,2,3,weighted_var_backward
4096,4096,block_smem,0.104395,cluster_smem,0.119882,2,4,weighted_var_backward
8192,4096,block_smem,0.256379,cluster_smem,0.233786,2,4,weighted_var_backward
16384,4096,block_smem,0.696404,cluster_smem,0.558511,2,4,weighted_var_backward
32768,4096,block_read,1.77818,cluster_smem,1.42465,2,4,weighted_var_backward
65536,4096,block_read,3.5794,n/a,nan,2,4,weighted_var_backward
4096,4096,block_smem,0.104661,cluster_smem,0.176672,4,0,weighted_var_backward
8192,4096,block_smem,0.256769,cluster_smem,0.238872,4,0,weighted_var_backward
16384,4096,block_smem,0.69765,cluster_smem,0.497143,4,0,weighted_var_backward
32768,4096,block_read,1.77829,cluster_smem,1.17993,4,0,weighted_var_backward
65536,4096,block_read,3.57943,cluster_smem,3.08363,4,0,weighted_var_backward
4096,4096,block_smem,0.104965,cluster_smem,0.176851,4,1,weighted_var_backward
8192,4096,block_smem,0.256874,cluster_smem,0.239117,4,1,weighted_var_backward
16384,4096,block_smem,0.691072,cluster_smem,0.497081,4,1,weighted_var_backward
32768,4096,block_read,1.77842,cluster_smem,1.1798,4,1,weighted_var_backward
65536,4096,block_read,3.57933,cluster_smem,3.1044,4,1,weighted_var_backward
4096,4096,block_smem,0.104552,cluster_smem,0.176891,4,2,weighted_var_backward
8192,4096,block_smem,0.25668,cluster_smem,0.238761,4,2,weighted_var_backward
16384,4096,block_smem,0.697713,cluster_smem,0.496907,4,2,weighted_var_backward
32768,4096,block_read,1.77851,cluster_smem,1.1801,4,2,weighted_var_backward
65536,4096,block_read,3.579,cluster_smem,3.07987,4,2,weighted_var_backward
4096,4096,block_smem,0.104499,cluster_smem,0.176421,4,3,weighted_var_backward
8192,4096,block_smem,0.256495,cluster_smem,0.23868,4,3,weighted_var_backward
16384,4096,block_smem,0.697485,cluster_smem,0.496828,4,3,weighted_var_backward
32768,4096,block_read,1.77786,cluster_smem,1.17375,4,3,weighted_var_backward
65536,4096,block_read,3.57788,cluster_smem,3.08762,4,3,weighted_var_backward
4096,4096,block_smem,0.104627,cluster_smem,0.176645,4,4,weighted_var_backward
8192,4096,block_smem,0.256587,cluster_smem,0.238736,4,4,weighted_var_backward
16384,4096,block_smem,0.697114,cluster_smem,0.497148,4,4,weighted_var_backward
32768,4096,block_read,1.77836,cluster_smem,1.17981,4,4,weighted_var_backward
65536,4096,block_read,3.57904,cluster_smem,3.08264,4,4,weighted_var_backward
4096,4096,block_smem,0.10464,cluster_smem,0.331,8,0,weighted_var_backward
8192,4096,block_smem,0.256508,cluster_smem,0.37313,8,0,weighted_var_backward
16384,4096,block_smem,0.697164,cluster_smem,0.487421,8,0,weighted_var_backward
32768,4096,block_read,1.77551,cluster_smem,1.00282,8,0,weighted_var_backward
65536,4096,block_read,3.57884,cluster_smem,2.49053,8,0,weighted_var_backward
4096,4096,block_smem,0.104521,cluster_smem,0.330863,8,1,weighted_var_backward
8192,4096,block_smem,0.256421,cluster_smem,0.37323,8,1,weighted_var_backward
16384,4096,block_smem,0.696846,cluster_smem,0.487329,8,1,weighted_var_backward
32768,4096,block_read,1.77514,cluster_smem,1.00152,8,1,weighted_var_backward
65536,4096,block_read,3.57956,cluster_smem,2.49079,8,1,weighted_var_backward
4096,4096,block_smem,0.104431,cluster_smem,0.33074,8,2,weighted_var_backward
8192,4096,block_smem,0.256413,cluster_smem,0.37265,8,2,weighted_var_backward
16384,4096,block_smem,0.696836,cluster_smem,0.48758,8,2,weighted_var_backward
32768,4096,block_read,1.77549,cluster_smem,1.00353,8,2,weighted_var_backward
65536,4096,block_read,3.57926,cluster_smem,2.48964,8,2,weighted_var_backward
4096,4096,block_smem,0.10445,cluster_smem,0.330941,8,3,weighted_var_backward
8192,4096,block_smem,0.256422,cluster_smem,0.372551,8,3,weighted_var_backward
16384,4096,block_smem,0.696018,cluster_smem,0.487549,8,3,weighted_var_backward
32768,4096,block_read,1.77833,cluster_smem,1.00214,8,3,weighted_var_backward
65536,4096,block_read,3.57938,cluster_smem,2.48292,8,3,weighted_var_backward
4096,4096,block_smem,0.104547,cluster_smem,0.330887,8,4,weighted_var_backward
8192,4096,block_smem,0.256663,cluster_smem,0.372869,8,4,weighted_var_backward
16384,4096,block_smem,0.691185,cluster_smem,0.487623,8,4,weighted_var_backward
32768,4096,block_read,1.77873,cluster_smem,1.00593,8,4,weighted_var_backward
65536,4096,block_read,3.5794,cluster_smem,2.48466,8,4,weighted_var_backward
4096,4096,block_smem,0.0948938,cluster_smem,0.106368,2,0,pearson_backward
8192,4096,block_smem,0.18876,cluster_smem,0.185905,2,0,pearson_backward
16384,4096,block_smem,0.519034,cluster_smem,0.379608,2,0,pearson_backward
32768,4096,block_read,1.1324,cluster_smem,1.06348,2,0,pearson_backward
65536,4096,block_read,2.27784,n/a,nan,2,0,pearson_backward
4096,4096,block_smem,0.094713,cluster_smem,0.106316,2,1,pearson_backward
8192,4096,block_smem,0.188694,cluster_smem,0.185721,2,1,pearson_backward
16384,4096,block_smem,0.522237,cluster_smem,0.380707,2,1,pearson_backward
32768,4096,block_read,1.13225,cluster_smem,1.06198,2,1,pearson_backward
65536,4096,block_read,2.27725,n/a,nan,2,1,pearson_backward
4096,4096,block_smem,0.0948074,cluster_smem,0.106397,2,2,pearson_backward
8192,4096,block_smem,0.188861,cluster_smem,0.185863,2,2,pearson_backward
16384,4096,block_smem,0.522258,cluster_smem,0.380654,2,2,pearson_backward
32768,4096,block_read,1.13242,cluster_smem,1.06248,2,2,pearson_backward
65536,4096,block_read,2.31309,n/a,nan,2,2,pearson_backward
4096,4096,block_smem,0.0947501,cluster_smem,0.106383,2,3,pearson_backward
8192,4096,block_smem,0.188821,cluster_smem,0.185983,2,3,pearson_backward
16384,4096,block_smem,0.52241,cluster_smem,0.380923,2,3,pearson_backward
32768,4096,block_read,1.13254,cluster_smem,1.06348,2,3,pearson_backward
65536,4096,block_read,2.28765,n/a,nan,2,3,pearson_backward
4096,4096,block_smem,0.094799,cluster_smem,0.10628,2,4,pearson_backward
