workload,label,category,rows,cols,block_variant,cuda_nodsmem_ms,cuda_nodsmem_p20_ms,cuda_nodsmem_p80_ms,torch_compile_ms,torch_compile_p20_ms,torch_compile_p80_ms,triton_ms,triton_p20_ms,triton_p80_ms,triton_block_size,triton_num_warps,dsmem_ms,dsmem_p20_ms,dsmem_p80_ms,measured_cluster_size,best_baseline,best_baseline_ms,dsmem_vs_torch,dsmem_vs_triton,dsmem_vs_cuda_nodsmem,dsmem_vs_best,dsmem_vs_best_p20,dsmem_vs_best_p80,predicted_cluster_size,predicted_delta_ms,predicted_profitable,measured_profitable_vs_cuda,model_correct
lars_momentum,LARS momentum,optimizer,4096,4096,block_smem,0.120902,0.1207818,0.12103560000000001,0.11532768249511718,0.11528742599487304,0.11534758377075195,0.1776924705505371,0.17765048980712891,0.17769407272338866,1024,8,0.118283,0.118237,0.1182966,2,torch.compile,0.11532768249511718,0.9750148583914611,1.502265503500394,1.022141812432894,0.9750148583914611,0.9745624641356814,0.9755625038757069,2,-0.011977265085640176,False,True,False
lars_momentum,LARS momentum,optimizer,4096,8192,block_smem,0.276186,0.27605979999999997,0.2762168,0.22661151885986328,0.2266024932861328,0.22671526336669923,0.36120574951171874,0.36118515777587884,0.3612350006103516,1024,8,0.23184,0.23175020000000002,0.232134,4,torch.compile,0.22661151885986328,0.977447890182295,1.5579958139739423,1.1912784679089028,0.977447890182295,0.9761710619130881,0.9782742943337231,2,-0.0211276188257237,False,True,False
lars_momentum,LARS momentum,optimizer,4096,16384,block_smem,0.733971,0.7338732,0.7356851999999999,0.44863487243652345,0.4482927932739258,0.448757682800293,0.7265711975097656,0.7265328674316407,0.726621368408203,1024,8,0.461916,0.4618576,0.46203200000000005,8,torch.compile,0.44863487243652345,0.9712477429587273,1.5729509207513177,1.5889707219494456,0.9712477429587273,0.9702635169726896,0.97163645851079,2,-0.03736152630589076,False,True,False
lars_momentum,LARS momentum,optimizer,4096,32768,block_read,1.48645,1.48637,1.486852,0.9066438293457031,0.9064736633300782,0.9066686401367188,1.4504194641113282,1.4504078979492185,1.4504377136230469,1024,8,0.938172,0.9377936,0.9405207999999999,8,torch.compile,0.9066438293457031,0.9663940400541725,1.5460059180100538,1.5844109608899009,0.9663940400541725,0.9637996983480623,0.9668104368986083,2,-0.07059264126622486,False,True,False
lars_momentum,LARS momentum,optimizer,4096,65536,block_read,3.00325,3.001876,3.0053360000000002,2.2958908081054688,2.2953840942382815,2.296998321533203,2.9098495483398437,2.9097299194335937,2.909977172851562,1024,8,2.19657,2.179956,2.200624,8,torch.compile,2.2958908081054688,1.0452163182167966,1.324724251146034,1.3672452960752446,1.0452163182167966,1.0430605565686286,1.0536902219738395,4,-0.15756230970755647,False,True,False
rowwise_quant,Row-wise int8 quantization,quantization,4096,4096,block_read+block_smem,0.0323613,0.032326560000000004,0.03253316,0.04463903903961182,0.04217804813385009,0.04590028667449951,0.03241024017333984,0.032394943714141845,0.032432960987091065,1024,8,0.0470035,0.04695900000000001,0.047028520000000004,2,cuda_nodsmem,0.0323613,0.9496960660293771,0.6895282303092289,0.6884870275617774,0.6884870275617774,0.6873820396644419,0.692799250409932,2,-0.012092573586139495,False,False,True
rowwise_quant,Row-wise int8 quantization,quantization,4096,8192,block_smem,0.0613744,0.061357020000000005,0.06152816,0.05897632122039795,0.058922177314758295,0.05898265647888184,0.07472864151000977,0.07470028972625734,0.07482636928558349,1024,8,0.0693466,0.06933049999999999,0.06935776,2,torch.compile,0.05897632122039795,0.8504572858712317,1.077610748183902,0.8850383436246335,0.8504572858712317,0.8495397964807152,0.8507461575912744,2,-0.01201079149950067,False,False,True
rowwise_quant,Row-wise int8 quantization,quantization,4096,16384,block_smem,0.118814,0.1187438,0.1188934,0.11360480308532715,0.11357664299011232,0.11365587615966798,0.2051580810546875,0.20513689422607423,0.20526008987426758,1024,8,0.125077,0.1247982,0.1251162,2,torch.compile,0.11360480308532715,0.9082789248649005,1.64025425181838,0.9499268450634409,0.9082789248649005,0.9077692815967261,0.9107172712400338,2,-0.01514782732622301,False,False,True
rowwise_quant,Row-wise int8 quantization,quantization,4096,32768,block_smem,0.358556,0.3584522,0.35972040000000005,0.23658720016479493,0.2364610481262207,0.23668505477905274,0.4053532791137695,0.40527442169189454,0.40544113922119146,1024,8,0.250425,0.2503972,0.2504254,4,torch.compile,0.23658720016479493,0.9447427380045719,1.6186613920885276,1.4317899570729757,0.9447427380045719,0.9442374780122971,0.945238424307671,2,-0.026436698979667703,False,True,False
rowwise_quant,Row-wise int8 quantization,quantization,4096,65536,block_read,0.837663,0.8375712000000001,0.8379962000000001,0.6113030242919922,0.6111991653442383,0.611723907470703,0.8120697784423828,0.8120368194580079,0.8121082153320313,1024,8,0.502851,0.5027908,0.5030922,8,torch.compile,0.6113030242919922,1.215674273874353,1.6149312190736078,1.6658274518694405,1.215674273874353,1.2148849959197108,1.2166569226618766,4,-0.06193565338025352,False,True,False
