device,workload,label,category,rows,cols,block_variant,cuda_nodsmem_ms,cuda_nodsmem_p20_ms,cuda_nodsmem_p80_ms,torch_compile_ms,torch_compile_p20_ms,torch_compile_p80_ms,triton_ms,triton_p20_ms,triton_p80_ms,triton_block_size,triton_num_warps,dsmem_ms,dsmem_p20_ms,dsmem_p80_ms,measured_cluster_size,best_baseline,best_baseline_ms,dsmem_vs_torch,dsmem_vs_triton,dsmem_vs_cuda_nodsmem,dsmem_vs_best,dsmem_vs_best_p20,dsmem_vs_best_p80,predicted_cluster_size,predicted_delta_ms,predicted_profitable,measured_profitable_vs_cuda,model_correct,model_version
RTX 5090,pearson_backward,Pearson backward,pairwise statistics,4096,8192,block_smem,0.351927,0.3518966,0.3519488,0.35080928802490235,0.35073363494873044,0.35084020233154295,0.6098432159423828,0.6078777542114258,0.6102978439331055,1024,8,0.351345,0.35127200000000003,0.35137039999999997,4,torch.compile,0.35080928802490235,0.9984752537389242,1.7357389914254728,1.0016564914827306,0.9984752537389242,0.9981877669511446,0.9987707597859862,2,0.06678343723578493,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,pearson_backward,Pearson backward,pairwise statistics,4096,16384,block_read,1.06937,1.068604,1.0697240000000001,0.7002365112304687,0.700124038696289,0.7002529602050782,1.3470034790039063,1.3459346923828126,1.3473289184570314,1024,8,0.701475,0.701454,0.7015844,8,torch.compile,0.7002365112304687,0.9982344505940607,1.9202444549041753,1.5244591753091699,0.9982344505940607,0.997918480935849,0.9982877853787678,2,0.25355045936447457,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,pearson_backward,Pearson backward,pairwise statistics,4096,32768,block_read,2.1592,2.152782,2.16281,1.449049530029297,1.4485699768066407,1.4495530395507812,2.723131103515625,2.722801940917969,2.723601989746094,1024,8,1.40972,1.409672,1.409788,8,torch.compile,1.449049530029297,1.0278988239007014,1.9316822514510859,1.53165167551003,1.0278988239007014,1.0275090842074415,1.0282910063835993,4,0.5050578458239969,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,pearson_backward,Pearson backward,pairwise statistics,4096,65536,block_read,4.33783,4.33695,4.340708,5.997832641601563,5.996777465820313,5.99947216796875,5.4231591796875,5.421841552734375,5.423187133789062,256,4,2.8162,2.81602,2.81651,8,cuda_nodsmem,4.33783,2.129760898232215,1.9257010083401391,1.5403131879838081,1.5403131879838081,1.5398312095465665,1.5414336545905214,8,0.9929326666948523,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,softmax_logits_backward,Softmax-logits backward,softmax,4096,4096,block_smem,0.119812,0.11977040000000001,0.1199058,0.11701215744018555,0.11695430183410645,0.11709183883666993,0.12131104469299317,0.12125465583801269,0.12134873771667481,1024,8,0.121533,0.1214064,0.1217882,2,torch.compile,0.11701215744018555,0.9628015225509577,0.9981737033809185,0.9858392370796409,0.9628015225509577,0.9603089776686612,0.9644618309798325,2,0.025788966795268656,True,False,False,effective-bandwidth-overlap-v2
RTX 5090,softmax_logits_backward,Softmax-logits backward,softmax,4096,8192,block_smem,0.254117,0.2540808,0.2541508,0.2560335922241211,0.2559961662292481,0.25605503463745116,0.4158566284179688,0.4157919464111328,0.4159341430664062,1024,8,0.250503,0.2504544,0.2505464,4,cuda_nodsmem,0.254117,1.0220779480649778,1.6600864197952472,1.014426972930464,1.014426972930464,1.0141067682473186,1.0147587744515567,2,0.08659185881199442,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,softmax_logits_backward,Softmax-logits backward,softmax,4096,16384,block_read,1.01818,1.01676,1.019306,0.5112169647216797,0.5110688171386718,0.5112743148803711,0.9787699127197266,0.9786859893798828,0.9788621520996093,1024,8,0.501612,0.5015742000000001,0.501675,8,torch.compile,0.5112169647216797,1.0191481956605497,1.9512489986677486,2.0298158736234386,1.0191481956605497,1.0187249058427703,1.019339341777091,2,0.4647012428454461,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,softmax_logits_backward,Softmax-logits backward,softmax,4096,32768,block_read,2.34425,2.340318,2.345952,1.0481414031982421,1.0479928741455078,1.0482112426757813,2.0078428649902342,2.0003033142089843,2.008439239501953,256,4,1.01046,1.0102,1.01067,4,torch.compile,1.0481414031982421,1.0372913358255074,1.9870582358433133,2.3199829780496017,1.0372913358255074,1.036928843386573,1.037627442759633,4,1.0966777848050637,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,softmax_logits_backward,Softmax-logits backward,softmax,4096,65536,block_read,4.7602,4.759448,4.76076,2.6273928833007814,2.626451171875,2.6275413208007814,3.999705810546875,3.999525268554687,4.000465576171875,512,4,2.00806,2.00788,2.010482,8,torch.compile,2.6273928833007814,1.308423494965679,1.991825847109586,2.3705466968118483,1.308423494965679,1.3063788543617898,1.3086147184098558,8,2.2052008232096707,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,lars_momentum,LARS momentum,optimizer,4096,4096,block_smem,0.215739,0.2156824,0.21583619999999998,0.21612768173217772,0.21606176376342773,0.21631603622436524,0.2627923202514648,0.2627575035095215,0.2629783706665039,1024,8,0.213877,0.21383339999999998,0.213888,4,cuda_nodsmem,0.215739,1.010523252767608,1.2287077163578355,1.008705938459956,1.008705938459956,1.0083894374625972,1.0093661701118721,2,0.04461033430602201,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,lars_momentum,LARS momentum,optimizer,4096,8192,block_smem,0.431845,0.4317726,0.43195399999999995,0.4352774429321289,0.43498566436767583,0.43586654663085933,0.6580847930908204,0.6574668579101561,0.6582267913818359,1024,8,0.430704,0.4306986,0.43077279999999996,4,cuda_nodsmem,0.431845,1.0106185290411256,1.5279282130902438,1.0026491511571753,1.0026491511571753,1.0023209450550268,1.002914799351565,2,0.10175070090253924,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,lars_momentum,LARS momentum,optimizer,4096,16384,block_read,1.38472,1.384668,1.3850220000000002,0.8754812622070313,0.8753380584716797,0.8757292022705079,1.3565728759765625,1.356328155517578,1.35764990234375,1024,8,0.863223,0.863195,0.864247,8,torch.compile,0.8754812622070313,1.0142005741355724,1.5715207727048082,1.6041277862151495,1.0142005741355724,1.0128332044793673,1.0145207076854104,2,0.3968994590955737,True,True,True,effective-bandwidth-overlap-v2
