workload,category,rows,cols,cluster_size,shared_bytes_per_cta,cluster_ms,cluster_p20_ms,cluster_p80_ms,control_overhead_ms,saved_hbm_ms,local_staging_ms,dsmem_store_ms,predicted_delta_ms,predicted_profitable,measured_delta_vs_block_ms,measured_profitable_vs_block
layernorm_backward,normalization,2048,4096,2,8192,0.0524566,0.05231148,0.05249956,0.0102403,0.014880194116759608,0.00813587870866761,7.755845968899059e-05,-0.003573543051596993,False,-0.024199599999999998,False
layernorm_backward,normalization,2048,4096,4,4096,0.0841402,0.08409348,0.08431914,0.0224966,0.014880194116759608,0.007973161134494259,0.00045604374297126453,-0.016045610760705913,False,-0.055883199999999994,False
layernorm_backward,normalization,2048,4096,8,2048,0.184695,0.18460680000000002,0.1849076,0.0489594,0.014880194116759608,0.007973161134494259,0.0021282041338659013,-0.04418057115160055,False,-0.156438,False
layernorm_backward,normalization,2048,8192,2,16384,0.123836,0.12265200000000001,0.1239274,0.0102304,0.029760388233519217,0.01627175741733522,7.755845968899059e-05,0.0031806723564950057,True,0.011030000000000012,True
layernorm_backward,normalization,2048,8192,4,8192,0.13924,0.13921419999999998,0.1392506,0.0225066,0.029760388233519217,0.015946322268988518,0.00045604374297126453,-0.009148577778440567,False,-0.004373999999999989,False
layernorm_backward,normalization,2048,8192,8,4096,0.207353,0.20724900000000002,0.20742639999999998,0.0487888,0.029760388233519217,0.015946322268988518,0.0021282041338659013,-0.0371029381693352,False,-0.072487,False
layernorm_backward,normalization,2048,16384,2,32768,0.254457,0.25443119999999997,0.2544862,0.0102365,0.27067120011293283,0.03254351483467044,7.755845968899059e-05,0.22781362681857342,True,0.163553,True
layernorm_backward,normalization,2048,16384,4,16384,0.251141,0.251127,0.25124399999999997,0.0225014,0.27067120011293283,0.031892644537977036,0.00045604374297126453,0.21582111183198455,True,0.166869,True
layernorm_backward,normalization,2048,16384,8,8192,0.284781,0.2847032,0.28485740000000004,0.0487613,0.27067120011293283,0.031892644537977036,0.0021282041338659013,0.1878890514410899,True,0.133229,True
layernorm_backward,normalization,2048,32768,2,65536,0.546915,0.546859,0.5470652,0.0204701,0.5413424002258657,0.06508702966934088,7.755845968899059e-05,0.45570771209683575,True,0.4717849999999999,True
layernorm_backward,normalization,2048,32768,4,32768,0.509785,0.5097689999999999,0.5099836,0.0224896,0.5413424002258657,0.06378528907595407,0.00045604374297126453,0.45461146740694036,True,0.5089149999999999,True
layernorm_backward,normalization,2048,32768,8,16384,0.503927,0.5038944000000001,0.5039962,0.0488454,0.5413424002258657,0.06378528907595407,0.0021282041338659013,0.4265835070160457,True,0.5147729999999999,True
layernorm_backward,normalization,2048,65536,4,65536,1.09882,1.098542,1.09891,0.043031,1.0826848004517313,0.12757057815190814,0.00045604374297126453,0.9116271785568519,True,0.9509699999999999,True
layernorm_backward,normalization,2048,65536,8,32768,1.02139,1.019976,1.021436,0.0488723,1.0826848004517313,0.12757057815190814,0.0021282041338659013,0.9041137181659573,True,1.0283999999999998,True
