workload,category,rows,cols,cluster_size,shared_bytes_per_cta,cluster_ms,cluster_p20_ms,cluster_p80_ms,control_overhead_ms,saved_hbm_ms,local_staging_ms,dsmem_store_ms,predicted_delta_ms,predicted_profitable,measured_delta_vs_block_ms,measured_profitable_vs_block,model_version,effective_bandwidth_gbps,saved_reread_ms,local_replay_ms,local_store_residual_ms
layernorm_backward,normalization,2048,4096,2,8192,0.0524566,0.05231148,0.05249956,0.0102403,0.010596375,0.004067939354333805,7.755845968899059e-05,-0.0037894228140227964,False,-0.024199599999999998,False,effective-bandwidth-overlap-v2,9499.786106097605,0.010596375,0.004067939354333805,0.0
layernorm_backward,normalization,2048,4096,4,4096,0.0841402,0.08409348,0.08431914,0.0224966,0.010596375,0.0039865805672471295,0.00045604374297126453,-0.016342849310218392,False,-0.055883199999999994,False,effective-bandwidth-overlap-v2,9499.786106097605,0.010596375,0.0039865805672471295,0.0
layernorm_backward,normalization,2048,4096,8,2048,0.184695,0.18460680000000002,0.1849076,0.0489594,0.010596375,0.0039865805672471295,0.0021282041338659013,-0.04447780970111303,False,-0.156438,False,effective-bandwidth-overlap-v2,9499.786106097605,0.010596375,0.0039865805672471295,0.0
layernorm_backward,normalization,2048,8192,2,16384,0.123836,0.12265200000000001,0.1239274,0.0102304,0.05057475,0.00813587870866761,7.755845968899059e-05,0.0321309128316434,True,0.011030000000000012,True,effective-bandwidth-overlap-v2,3980.7728560200494,0.05057475,0.00813587870866761,0.0
layernorm_backward,normalization,2048,8192,4,8192,0.13924,0.13921419999999998,0.1392506,0.0225066,0.05057475,0.007973161134494259,0.00045604374297126453,0.019638945122534477,True,-0.004373999999999989,False,effective-bandwidth-overlap-v2,3980.7728560200494,0.05057475,0.007973161134494259,0.0
layernorm_backward,normalization,2048,8192,8,4096,0.207353,0.20724900000000002,0.20742639999999998,0.0487888,0.05057475,0.007973161134494259,0.0021282041338659013,-0.008315415268360158,False,-0.072487,False,effective-bandwidth-overlap-v2,3980.7728560200494,0.05057475,0.007973161134494259,0.0
layernorm_backward,normalization,2048,16384,2,32768,0.254457,0.25443119999999997,0.2544862,0.0102365,0.15675375,0.01627175741733522,7.755845968899059e-05,0.13016793412297578,True,0.163553,True,effective-bandwidth-overlap-v2,2568.698892370996,0.15675375,0.01627175741733522,0.0
layernorm_backward,normalization,2048,16384,4,16384,0.251141,0.251127,0.25124399999999997,0.0225014,0.15675375,0.015946322268988518,0.00045604374297126453,0.11784998398804021,True,0.166869,True,effective-bandwidth-overlap-v2,2568.698892370996,0.15675375,0.015946322268988518,0.0
layernorm_backward,normalization,2048,16384,8,8192,0.284781,0.2847032,0.28485740000000004,0.0487613,0.15675375,0.015946322268988518,0.0021282041338659013,0.08991792359714558,True,0.133229,True,effective-bandwidth-overlap-v2,2568.698892370996,0.15675375,0.015946322268988518,0.0
layernorm_backward,normalization,2048,32768,2,65536,0.546915,0.546859,0.5470652,0.0204701,0.3820125,0.03254351483467044,7.755845968899059e-05,0.32892132670564056,True,0.4717849999999999,True,effective-bandwidth-overlap-v2,2108.0628722882107,0.3820125,0.03254351483467044,0.0
layernorm_backward,normalization,2048,32768,4,32768,0.509785,0.5097689999999999,0.5099836,0.0224896,0.3820125,0.031892644537977036,0.00045604374297126453,0.3271742117190517,True,0.5089149999999999,True,effective-bandwidth-overlap-v2,2108.0628722882107,0.3820125,0.031892644537977036,0.0
layernorm_backward,normalization,2048,32768,8,16384,0.503927,0.5038944000000001,0.5039962,0.0488454,0.3820125,0.031892644537977036,0.0021282041338659013,0.2991462513281571,True,0.5147729999999999,True,effective-bandwidth-overlap-v2,2108.0628722882107,0.3820125,0.031892644537977036,0.0
layernorm_backward,normalization,2048,65536,4,65536,1.09882,1.098542,1.09891,0.043031,0.7686712499999999,0.06378528907595407,0.00045604374297126453,0.6613989171810746,True,0.9509699999999999,True,effective-bandwidth-overlap-v2,2095.320640650994,0.7686712499999999,0.06378528907595407,0.0
layernorm_backward,normalization,2048,65536,8,32768,1.02139,1.019976,1.021436,0.0488723,0.7686712499999999,0.06378528907595407,0.0021282041338659013,0.65388545679018,True,1.0283999999999998,True,effective-bandwidth-overlap-v2,2095.320640650994,0.7686712499999999,0.06378528907595407,0.0
weighted_var_backward,normalization,4096,4096,2,24576,0.163591,0.1635248,0.16367879999999999,0.026609,0.09774,0.023919483403482773,0.0001900182262380269,0.0470214983702792,True,-0.0006909999999999972,False,effective-bandwidth-overlap-v2,4119.635604665439,0.09774,0.023919483403482773,0.0
weighted_var_backward,normalization,4096,4096,4,12288,0.216512,0.21644600000000003,0.21684779999999998,0.0573222,0.09774,0.023919483403482773,0.0011401093574281613,0.015358207239089062,True,-0.05361200000000002,False,effective-bandwidth-overlap-v2,4119.635604665439,0.09774,0.023919483403482773,0.0
weighted_var_backward,normalization,4096,4096,8,6144,0.486384,0.4860086,0.4864912,0.127397,0.09774,0.023919483403482773,0.005320510334664753,-0.058896993738147545,False,-0.323484,False,effective-bandwidth-overlap-v2,4119.635604665439,0.09774,0.023919483403482773,0.0
weighted_var_backward,normalization,4096,8192,2,49152,0.335014,0.3347524,0.3351092,0.0266099,0.19975559999999998,0.04783896680696555,0.0001900182262380269,0.1251167149667964,True,-0.0020879999999999788,False,effective-bandwidth-overlap-v2,4031.458282020629,0.19975559999999998,0.04783896680696555,0.0
weighted_var_backward,normalization,4096,8192,4,24576,0.332084,0.332074,0.3321074,0.0573264,0.19975559999999998,0.04783896680696555,0.0011401093574281613,0.09345012383560627,True,0.0008420000000000094,True,effective-bandwidth-overlap-v2,4031.458282020629,0.19975559999999998,0.04783896680696555,0.0
weighted_var_backward,normalization,4096,8192,8,12288,0.482725,0.4823476,0.48286799999999996,0.127296,0.19975559999999998,0.04783896680696555,0.005320510334664753,0.019300122858369684,True,-0.14979900000000002,False,effective-bandwidth-overlap-v2,4031.458282020629,0.19975559999999998,0.04783896680696555,0.0
weighted_var_backward,normalization,4096,16384,2,98304,0.666041,0.6659587999999999,0.666236,0.0532285,0.9657899999999999,0.0956779336139311,0.0001900182262380269,0.8166935481598309,True,0.943609,True,effective-bandwidth-overlap-v2,1667.6635044885534,0.9657899999999999,0.0956779336139311,0.0
weighted_var_backward,normalization,4096,16384,4,49152,0.66947,0.6694292,0.6696452,0.0573203,0.9657899999999999,0.0956779336139311,0.0011401093574281613,0.8116516570286407,True,0.94018,True,effective-bandwidth-overlap-v2,1667.6635044885534,0.9657899999999999,0.0956779336139311,0.0
weighted_var_backward,normalization,4096,16384,8,24576,0.669977,0.6697142,0.6700024,0.127368,0.9657899999999999,0.0956779336139311,0.005320510334664753,0.7374235560514041,True,0.939673,True,effective-bandwidth-overlap-v2,1667.6635044885534,0.9657899999999999,0.0956779336139311,0.0
weighted_var_backward,normalization,4096,32768,4,98304,1.33252,1.332454,1.332786,0.114643,2.110776,0.1913558672278622,0.0011401093574281613,1.8036370234147097,True,2.18544,True,effective-bandwidth-overlap-v2,1526.0858906866479,2.110776,0.1913558672278622,0.0
weighted_var_backward,normalization,4096,32768,8,49152,1.33761,1.3368220000000002,1.338012,0.127409,2.110776,0.1913558672278622,0.005320510334664753,1.786690622437473,True,2.18035,True,effective-bandwidth-overlap-v2,1526.0858906866479,2.110776,0.1913558672278622,0.0
weighted_var_backward,normalization,4096,65536,8,98304,2.71766,2.7175599999999998,2.718058,0.25651,4.22337,0.3827117344557244,0.005320510334664753,3.578827755209611,True,4.321289999999999,True,effective-bandwidth-overlap-v2,1525.4289688092683,4.22337,0.3827117344557244,0.0
pearson_backward,pairwise statistics,4096,4096,2,16384,0.174449,0.1744176,0.1745046,0.0184621,0.05911566666666667,0.015946322268988518,0.0001900182262380269,0.024517226171440122,True,0.0028980000000000117,True,effective-bandwidth-overlap-v2,2270.425685238544,0.05911566666666667,0.015946322268988518,0.0
pearson_backward,pairwise statistics,4096,4096,4,8192,0.171907,0.17188399999999998,0.17204399999999997,0.0429802,0.05911566666666667,0.015946322268988518,0.0011401093574281613,-0.0009509649597500118,False,0.00544,True,effective-bandwidth-overlap-v2,2270.425685238544,0.05911566666666667,0.015946322268988518,0.0
pearson_backward,pairwise statistics,4096,4096,8,4096,0.310547,0.31037040000000005,0.3105664,0.0954838,0.05911566666666667,0.015946322268988518,0.005320510334664753,-0.057634965936986596,False,-0.1332,False,effective-bandwidth-overlap-v2,2270.425685238544,0.05911566666666667,0.015946322268988518,0.0
pearson_backward,pairwise statistics,4096,8192,2,32768,0.352243,0.3522172,0.3523104,0.0184429,0.117309,0.031892644537977036,0.0001900182262380269,0.06678343723578493,True,-0.00031599999999998296,False,effective-bandwidth-overlap-v2,2288.2767392101205,0.117309,0.031892644537977036,0.0
pearson_backward,pairwise statistics,4096,8192,4,16384,0.351345,0.35127200000000003,0.35137039999999997,0.0429773,0.117309,0.031892644537977036,0.0011401093574281613,0.0412989461045948,True,0.0005819999999999714,True,effective-bandwidth-overlap-v2,2288.2767392101205,0.117309,0.031892644537977036,0.0
pearson_backward,pairwise statistics,4096,8192,8,8192,0.351891,0.3518108,0.3520716,0.0954624,0.117309,0.031892644537977036,0.005320510334664753,-0.015366554872641795,False,3.599999999998049e-05,True,effective-bandwidth-overlap-v2,2288.2767392101205,0.117309,0.031892644537977036,0.0
pearson_backward,pairwise statistics,4096,16384,2,65536,0.703913,0.7038308,0.7039402,0.0389309,0.35645666666666664,0.06378528907595407,0.0001900182262380269,0.25355045936447457,True,0.3654569999999999,True,effective-bandwidth-overlap-v2,1506.1323358613015,0.35645666666666664,0.06378528907595407,0.0
pearson_backward,pairwise statistics,4096,16384,4,32768,0.704319,0.7042992,0.7043412,0.0429811,0.35645666666666664,0.06378528907595407,0.0011401093574281613,0.2485501682332844,True,0.3650509999999999,True,effective-bandwidth-overlap-v2,1506.1323358613015,0.35645666666666664,0.06378528907595407,0.0
pearson_backward,pairwise statistics,4096,16384,8,16384,0.701475,0.701454,0.7015844,0.0946982,0.35645666666666664,0.06378528907595407,0.005320510334664753,0.19265266725604782,True,0.36789499999999997,True,effective-bandwidth-overlap-v2,1506.1323358613015,0.35645666666666664,0.06378528907595407,0.0
pearson_backward,pairwise statistics,4096,32768,4,65536,1.41007,1.410034,1.410112,0.0859648,0.7197333333333332,0.12757057815190814,0.0011401093574281613,0.5050578458239969,True,0.7491299999999999,True,effective-bandwidth-overlap-v2,1491.8606298629122,0.7197333333333332,0.12757057815190814,0.0
pearson_backward,pairwise statistics,4096,32768,8,32768,1.40972,1.409672,1.409788,0.0947206,0.7197333333333332,0.12757057815190814,0.005320510334664753,0.4921216448467603,True,0.7494799999999997,True,effective-bandwidth-overlap-v2,1491.8606298629122,0.7197333333333332,0.12757057815190814,0.0
pearson_backward,pairwise statistics,4096,65536,8,65536,2.8162,2.81602,2.81651,0.192549,1.4459433333333334,0.2551411563038163,0.005320510334664753,0.9929326666948523,True,1.5216300000000005,True,effective-bandwidth-overlap-v2,1485.1782905277523,1.4459433333333334,0.2551411563038163,0.0
softmax_logits_backward,softmax,4096,4096,2,16384,0.121533,0.1214064,0.1217882,0.0266147,0.068464,0.015946322268988518,0.00011401093574281613,0.025788966795268656,True,-0.0017210000000000003,False,effective-bandwidth-overlap-v2,3920.826361299369,0.068464,0.015946322268988518,0.0
softmax_logits_backward,softmax,4096,4096,4,8192,0.179617,0.1792108,0.1796376,0.0573405,0.068464,0.015946322268988518,0.0006840656144568969,-0.00550688788344542,False,-0.059805,False,effective-bandwidth-overlap-v2,3920.826361299369,0.068464,0.015946322268988518,0.0
softmax_logits_backward,softmax,4096,4096,8,4096,0.402517,0.40210260000000003,0.4027236,0.128425,0.068464,0.015946322268988518,0.0031923062007988517,-0.07909962846978738,False,-0.282705,False,effective-bandwidth-overlap-v2,3920.826361299369,0.068464,0.015946322268988518,0.0
softmax_logits_backward,softmax,4096,8192,2,32768,0.254196,0.2540284,0.25428819999999996,0.0266112,0.14520971428571428,0.031892644537977036,0.00011401093574281613,0.08659185881199442,True,-7.899999999999574e-05,False,effective-bandwidth-overlap-v2,3697.2107178976617,0.14520971428571428,0.031892644537977036,0.0
softmax_logits_backward,softmax,4096,8192,4,16384,0.250503,0.2504544,0.2505464,0.0573235,0.14520971428571428,0.031892644537977036,0.0006840656144568969,0.05530950413328034,True,0.003614000000000006,True,effective-bandwidth-overlap-v2,3697.2107178976617,0.14520971428571428,0.031892644537977036,0.0
softmax_logits_backward,softmax,4096,8192,8,8192,0.391383,0.3912896,0.3914204,0.128284,0.14520971428571428,0.031892644537977036,0.0031923062007988517,-0.01815923645306162,False,-0.137266,False,effective-bandwidth-overlap-v2,3697.2107178976617,0.14520971428571428,0.031892644537977036,0.0
