workload,cols,cluster_size,trial,overhead_ms
pearson_backward,8192,4,1,0.0429875
pearson_backward,8192,4,2,0.0429773
pearson_backward,8192,4,3,0.0429738
pearson_backward,8192,4,4,0.0429712
pearson_backward,16384,4,0,0.0429811
pearson_backward,16384,4,1,0.042993
pearson_backward,16384,4,2,0.0429309
pearson_backward,16384,4,3,0.0429882
pearson_backward,16384,4,4,0.0429715
pearson_backward,32768,4,0,0.085951
pearson_backward,32768,4,1,0.0859648
pearson_backward,32768,4,2,0.0859626
pearson_backward,32768,4,3,0.085983
pearson_backward,32768,4,4,0.0859974
pearson_backward,4096,8,0,0.0954838
pearson_backward,4096,8,1,0.0954838
pearson_backward,4096,8,2,0.0954291
pearson_backward,4096,8,3,0.0955254
pearson_backward,4096,8,4,0.0956323
pearson_backward,8192,8,0,0.0954637
pearson_backward,8192,8,1,0.0955123
pearson_backward,8192,8,2,0.0954285
pearson_backward,8192,8,3,0.0954624
pearson_backward,8192,8,4,0.0946074
pearson_backward,16384,8,0,0.0945898
pearson_backward,16384,8,1,0.0947434
pearson_backward,16384,8,2,0.094687
pearson_backward,16384,8,3,0.0946982
pearson_backward,16384,8,4,0.0949174
pearson_backward,32768,8,0,0.0949206
pearson_backward,32768,8,1,0.0947053
pearson_backward,32768,8,2,0.0945699
pearson_backward,32768,8,3,0.094729
pearson_backward,32768,8,4,0.0947206
pearson_backward,65536,8,0,0.192532
pearson_backward,65536,8,1,0.1925
pearson_backward,65536,8,2,0.192599
pearson_backward,65536,8,3,0.192549
pearson_backward,65536,8,4,0.192549
softmax_logits_backward,4096,2,0,0.0266195
softmax_logits_backward,4096,2,1,0.0262912
softmax_logits_backward,4096,2,2,0.0266045
softmax_logits_backward,4096,2,3,0.0266154
softmax_logits_backward,4096,2,4,0.0266147
softmax_logits_backward,8192,2,0,0.0266083
softmax_logits_backward,8192,2,1,0.0265994
softmax_logits_backward,8192,2,2,0.0266141
softmax_logits_backward,8192,2,3,0.0266112
softmax_logits_backward,8192,2,4,0.0266147
softmax_logits_backward,16384,2,0,0.0532269
softmax_logits_backward,16384,2,1,0.0532259
softmax_logits_backward,16384,2,2,0.0532125
softmax_logits_backward,16384,2,3,0.0530806
softmax_logits_backward,16384,2,4,0.0532166
softmax_logits_backward,4096,4,0,0.0573232
softmax_logits_backward,4096,4,1,0.0573565
softmax_logits_backward,4096,4,2,0.0573424
softmax_logits_backward,4096,4,3,0.0573405
softmax_logits_backward,4096,4,4,0.0573402
softmax_logits_backward,8192,4,0,0.0573619
softmax_logits_backward,8192,4,1,0.0573504
softmax_logits_backward,8192,4,2,0.0573235
softmax_logits_backward,8192,4,3,0.05732
softmax_logits_backward,8192,4,4,0.0573181
softmax_logits_backward,16384,4,0,0.0573152
softmax_logits_backward,16384,4,1,0.0573181
softmax_logits_backward,16384,4,2,0.0573341
softmax_logits_backward,16384,4,3,0.0573325
softmax_logits_backward,16384,4,4,0.0573283
softmax_logits_backward,32768,4,0,0.114654
softmax_logits_backward,32768,4,1,0.114637
softmax_logits_backward,32768,4,2,0.114654
softmax_logits_backward,32768,4,3,0.114637
softmax_logits_backward,32768,4,4,0.114639
softmax_logits_backward,4096,8,0,0.128429
softmax_logits_backward,4096,8,1,0.128425
softmax_logits_backward,4096,8,2,0.12825
softmax_logits_backward,4096,8,3,0.128436
softmax_logits_backward,4096,8,4,0.128133
softmax_logits_backward,8192,8,0,0.128228
softmax_logits_backward,8192,8,1,0.128284
softmax_logits_backward,8192,8,2,0.128165
softmax_logits_backward,8192,8,3,0.128382
softmax_logits_backward,8192,8,4,0.128496
softmax_logits_backward,16384,8,0,0.128404
softmax_logits_backward,16384,8,1,0.12828
softmax_logits_backward,16384,8,2,0.128135
softmax_logits_backward,16384,8,3,0.128302
softmax_logits_backward,16384,8,4,0.128327
softmax_logits_backward,32768,8,0,0.128505
softmax_logits_backward,32768,8,1,0.128375
softmax_logits_backward,32768,8,2,0.128317
softmax_logits_backward,32768,8,3,0.128192
softmax_logits_backward,32768,8,4,0.127371
softmax_logits_backward,65536,8,0,0.256462
softmax_logits_backward,65536,8,1,0.25665
softmax_logits_backward,65536,8,2,0.25658
softmax_logits_backward,65536,8,3,0.25659
softmax_logits_backward,65536,8,4,0.256414
lars_momentum,4096,2,0,0.0122893
lars_momentum,4096,2,1,0.0122976
lars_momentum,4096,2,2,0.0123043
lars_momentum,4096,2,3,0.0122963
lars_momentum,4096,2,4,0.0122934
lars_momentum,8192,2,0,0.0122758
lars_momentum,8192,2,1,0.0123034
lars_momentum,8192,2,2,0.0122963
lars_momentum,8192,2,3,0.0122762
lars_momentum,8192,2,4,0.0122669
lars_momentum,16384,2,0,0.0266061
lars_momentum,16384,2,1,0.0266166
lars_momentum,16384,2,2,0.0266173
lars_momentum,16384,2,3,0.0266186
lars_momentum,16384,2,4,0.0265949
lars_momentum,4096,4,0,0.0286669
lars_momentum,4096,4,1,0.0286214
lars_momentum,4096,4,2,0.0286141
lars_momentum,4096,4,3,0.0286442
lars_momentum,4096,4,4,0.0286467
lars_momentum,8192,4,0,0.0286464
lars_momentum,8192,4,1,0.0285782
lars_momentum,8192,4,2,0.028648
lars_momentum,8192,4,3,0.028657
lars_momentum,8192,4,4,0.0286611
lars_momentum,16384,4,0,0.0286291
